Time Step,Average droplet size,Rain Count,Total Drops,Max Drop Size
494,3,0,307,26
495,3,0,305,26
496,3,0,305,26
497,3,0,309,26
498,3,0,309,26
499,3,0,308,26
500,3,1,302,26
501,3,0,300,26
502,3,0,299,26
503,3,0,303,26
504,3,0,305,26
505,3,0,300,27
506,3,0,302,27
507,3,0,300,27
508,3,0,299,27
509,3,1,302,27
510,3,0,304,27
511,3,0,304,27
512,3,0,307,27
513,3,0,304,27
514,3,0,303,27
515,3,0,304,27
516,3,0,303,27
517,3,1,303,27
518,3,0,301,27
519,3,2,299,27
520,3,0,297,27
521,3,1,298,32
522,3,0,297,32
523,3,0,295,32
524,3,0,294,32
525,3,1,295,32
526,3,1,291,32
527,3,0,290,32
528,3,0,289,32
529,3,0,287,32
530,3,0,285,32
531,3,0,283,32
532,3,0,284,32
533,3,0,289,32
534,3,0,290,32
535,3,0,291,32
536,3,0,291,32
537,3,1,290,32
538,3,2,288,31
539,3,0,288,31
540,3,0,285,31
541,3,0,282,31
542,3,0,279,31
543,3,0,280,33
544,3,0,280,33
545,3,0,281,33
546,3,0,283,33
547,3,0,288,33
548,3,0,290,33
549,3,0,290,33
550,3,0,291,33
551,2,1,292,33
552,3,0,290,33
553,3,0,287,33
554,3,0,285,33
555,3,0,286,33
556,3,0,281,33
557,3,0,278,38
558,3,0,279,40
559,3,0,278,40
560,3,1,276,40
561,3,1,276,18
562,3,1,276,17
563,3,0,274,23
564,3,0,271,24
565,3,0,270,24
566,3,0,269,24
567,3,0,270,24
568,3,1,274,24
569,3,0,272,14
570,2,1,270,14
571,3,0,269,14
572,2,0,269,14
573,2,0,276,14
574,3,0,273,15
575,3,0,272,15
576,3,0,274,15
577,3,0,275,15
578,3,0,277,15
579,3,0,279,15
580,3,0,274,15
581,3,0,271,15
582,3,0,272,18
583,3,0,275,18
584,3,0,275,18
585,3,0,276,18
586,3,0,278,18
587,3,0,280,24
588,3,0,281,24
589,3,0,286,24
590,3,0,286,39
591,3,0,290,39
592,3,0,292,39
593,3,1,296,39
594,3,0,290,39
595,2,1,289,39
596,2,1,290,20
597,2,0,288,20
598,2,0,290,20
599,2,0,288,20
600,2,0,289,20
601,2,0,287,20
602,2,0,292,20
603,2,1,294,20
604,2,0,293,20
605,2,0,296,20
606,2,0,295,20
607,2,0,297,20
608,2,1,296,20
609,2,0,293,20
610,2,0,292,20
611,2,0,290,20
612,2,0,292,20
613,3,0,294,21
614,3,0,290,21
615,2,0,293,21
616,3,0,295,21
617,3,0,290,21
618,3,0,290,21
619,3,0,288,21
620,3,0,289,21
621,3,0,289,21
622,3,0,287,22
623,3,0,289,22
624,3,0,288,23
625,3,1,290,23
626,2,1,289,23
627,2,0,290,22
628,2,0,290,22
629,2,0,290,22
630,3,0,290,22
631,3,0,289,22
632,3,0,285,22
633,3,0,285,22
634,3,0,284,22
635,3,0,284,22
636,3,1,284,22
637,3,0,285,22
638,2,1,288,22
639,2,0,287,20
640,2,0,289,20
641,2,0,291,20
642,3,0,291,20
643,3,1,290,20
644,3,0,285,20
645,3,0,286,20
646,3,0,285,20
647,3,0,287,20
648,3,0,288,20
649,3,0,288,20
650,3,0,293,20
651,3,0,293,20
652,3,0,291,20
653,3,0,291,20
654,3,0,292,20
655,3,1,292,20
656,3,0,293,20
657,3,1,291,20
658,3,1,289,20
659,3,0,287,20
660,3,0,289,24
661,3,0,294,24
662,3,0,299,24
663,3,0,298,24
664,3,0,298,24
665,3,0,298,24
666,3,0,295,24
667,3,0,299,24
668,3,0,296,27
669,3,0,295,27
670,3,1,296,27
671,3,2,292,18
672,3,0,289,19
673,3,0,289,19
674,3,0,292,19
675,3,0,292,19
676,3,0,288,19
677,3,0,292,19
678,3,0,291,19
679,3,0,289,19
680,3,0,287,19
681,3,1,287,19
682,3,0,283,19
683,3,0,283,20
684,3,0,287,20
685,3,0,286,20
686,3,1,287,20
687,3,0,289,20
688,3,1,288,20
689,3,0,287,20
690,3,0,286,20
691,3,0,290,20
692,2,2,287,20
693,2,0,290,18
694,2,0,291,18
695,3,0,291,19
696,3,0,287,21
697,3,0,288,21
698,3,0,288,21
699,2,1,288,21
700,2,0,287,19
701,3,0,288,19
702,3,1,288,19
703,3,0,286,19
704,3,0,282,19
705,2,1,288,19
706,2,0,287,19
707,2,0,288,19
708,2,1,286,19
709,2,0,287,19
710,3,0,283,19
711,2,1,283,19
712,2,0,284,19
713,2,1,283,19
714,2,0,284,19
715,2,0,284,19
716,2,1,283,19
717,2,0,281,20
718,2,0,280,20
719,2,0,283,20
720,2,0,283,20
721,2,1,285,20
722,2,0,286,20
723,2,0,286,24
724,2,0,288,24
725,2,0,288,24
726,2,1,292,24
727,2,0,290,24
728,2,0,288,24
729,2,0,293,26
730,2,0,292,26
731,2,1,291,26
732,2,0,288,26
733,2,0,287,26
734,2,0,286,26
735,2,0,283,26
736,2,0,285,26
737,2,0,288,26
738,2,0,288,26
739,3,0,288,26
740,3,0,286,26
741,2,0,286,26
742,2,1,290,26
743,2,0,292,26
744,2,0,290,26
745,2,0,287,28
746,3,0,288,28
747,3,0,284,28
748,3,0,285,28
749,3,0,284,28
750,3,1,281,28
751,2,2,280,28
752,2,0,279,28
753,2,0,278,28
754,2,0,280,28
755,2,0,282,28
756,2,0,283,28
757,2,0,283,28
758,2,1,287,28
759,2,0,287,22
